Respiratory Seq ID	ABCTL CovSeq Code	Date	Location Code	QC	run	notes
I62256	AWW120(2)	220411	ASU10	10915386	180	
I62257	AWW121(2)	220411	ASU11	1868861	180	
I62258	AWW122(2)	220411	ASU12	2217207	180	
I62259	AWW123(2)	220411	ASU15	904854	180	
I62260	AWW124(2)	220411	ASU14	4149912	180	
I62261	AWW125(2)	220411	ASU16	7670180	180	
I64183	AWW126(2)	220418	ASU1	4277380	186	
I64185	AWW128(2)	220418	ASU6	1359356	186	
I64186	AWW129(2)	220418	ASU2	8701899	186	
I64187	AWW130(2)	220418	ASU4	9294281	186	
I64188	AWW131(2)	220418	ASU3	3933251	186	
I64189	AWW132(2)	220418	ASU7	6587585	186	
I64190	AWW133(2)	220418	ASU8	13499307	186	
I64191	AWW134(2)	220418	ASU9	2074273	186	
I64192	AWW135(2)	220418	ASU10	4970162	186	
I64193	AWW136(2)	220418	ASU11	5096951	186	
I64194	AWW137(2)	220418	ASU12	6827465	186	
I64195	AWW138(2)	220418	ASU15	7852258	186	
I64196	AWW139(2)	220418	ASU16	8499943	186	
I66310	AWW140(2)	220425	ASU1	246747	193	
I66311	AWW141(2)	220425	ASU5	741630	193	
I66312	AWW142(2)	220425	ASU6	1078514	193	
I66313	AWW143(2)	220425	ASU2	14095525	193	
I66314	AWW144(2)	220425	ASU4	731073	193	
I66315	AWW145(2)	220425	ASU3	6447021	193	
I66316	AWW146(2)	220425	ASU7	18533	193	
I66317	AWW147(2)	220425	ASU8	932891	193	
I66318	AWW148(2)	220425	ASU9	743872	193	
I66319	AWW149(2)	220425	ASU10	4523556	193	
I66320	AWW150(2)	220425	ASU11	7555127	193	
I66321	AWW151(2)	220425	ASU12	6624207	193	
I66322	AWW152(2)	220425	ASU15	8667235	193	
I66323	AWW153(2)	220425	ASU16	9697475	193	
I68629	AWW154(2)	220503	ASU1	8053117	200	
I68630	AWW155(2)	220503	ASU5	9378387	200	
I68631	AWW156(2)	220503	ASU6	7622246	200	
I68632	AWW157(2)	220503	ASU2	7590093	200	
I68633	AWW158(2)	220503	ASU4	4318882	200	
I68634	AWW159(2)	220503	ASU3	5655817	200	
I68635	AWW160(2)	220503	ASU7	2279240	200	
I68636	AWW161(2)	220503	ASU8	3081888	200	
I68637	AWW162(2)	220503	ASU9	1633212	200	
I68638	AWW163(2)	220503	ASU10	2843729	200	
I68639	AWW164(2)	220503	ASU11	2578194	200	
I68640	AWW165(2)	220503	ASU12	1833368	200	
