COVIDSeq_Seq_ID,External_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I99731,AWMW6,230216,ASUW03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00572318,0,0,0.99427682
I99741,AWMW16,230308,ASUW04,0,0,0,0.9991323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008677
I99715,AWMT484,230313,ASUT05,0,0.53333328,0,0.13333332,0,0,0,0.04444444,0,0,0,0,0,0,0,0,0,0,0.26666664,0.02222222,1.00E-07
I99711,AWMT480,230306,ASUT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70979142,0.19897658,0,0,0.03617756,0.05426634,0.0007881
I99706,AWMT475,230306,ASUT08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818,0.818182
I99728,AWMT497,230313,ASUT16,0,0,0,0,0,0,0,0,0,0,0,0.00233645,0,0,0,0,0,0,0.74331206,0.25374201,0.00060948
I99716,AWMT485,230313,ASUT06,0,0.562347,0,0.437381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272
I99738,AWMW13,230308,ASUW01,0,0,0,0,0,0,0,0,0,0,0,0.00187617,0,0,0,0,0,0,0,0.99623347,0.00189036
I99705,AWMT474,230306,ASUT07,0,0.49830521,0,0.49830521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166523,0,0.00172435
I99712,AWMT481,230306,ASUT16,0,0.99988938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011062
I99713,AWMT482,230306,ASUT17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884956,0,0,0.99115044
I99704,AWMT473,230306,ASUT03,0,0.45958761,0,0.51953382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01998207,0,0.0008965
I99739,AWMW14,230308,ASUW02,0,0.51988632,0,0.47953423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057945
I99717,AWMT486,230313,ASUT02,0,0.99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-08
I99729,AWMT498,230313,ASUT17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
